Objective value:  1.2016935101680999
u1  =  0.0059039765
u10  =  0.0
u11  =  0.010264281
u12  =  0.0
u13  =  0.002948129
u14  =  0.013307815
u15  =  0.0046071128
u16  =  0.0
u17  =  0.007961064
u18  =  0.0
u19  =  0.0
u2  =  0.0
u20  =  0.0045266903
u21  =  0.0
u22  =  0.016558332
u23  =  0.0050738995
u24  =  0.0
u25  =  0.0055278008
u26  =  0.0029451646
u27  =  0.0
u28  =  0.0099602766
u29  =  0.0
u3  =  0.020786059
u30  =  0.0037290456
u31  =  0.0
u32  =  0.0036406555
u33  =  0.0
u34  =  0.0045432424
u35  =  0.00301741
u36  =  0.0
u37  =  0.0
u38  =  0.0094053651
u39  =  0.008095069
u4  =  0.0183784
u40  =  0.0
u41  =  0.016922042
u42  =  0.0
u43  =  0.0
u44  =  0.0025009275
u45  =  0.0014126933
u46  =  0.00040051232
u47  =  0.002717796
u48  =  0.0018135117
u49  =  0.0
u5  =  0.0
u50  =  0.0
u51  =  0.0072450754
u52  =  0.0035010638
u53  =  0.0069928034
u54  =  0.0
u55  =  0.012238276
u56  =  0.0
u57  =  0.0020797094
u58  =  0.0
u59  =  0.0022852273
u6  =  0.0018076674
u60  =  0.0
u7  =  0.0
u8  =  0.013073677
u9  =  0.013588774
v1  =  0.0
v10  =  0.0038496532
v100  =  0.0
v101  =  0.0
v102  =  0.0
v103  =  0.0
v104  =  0.0
v105  =  0.0
v106  =  0.0
v107  =  0.0
v108  =  0.0
v109  =  0.0
v11  =  0.0
v110  =  0.0
v111  =  0.0
v112  =  0.0
v113  =  0.0
v114  =  0.0
v115  =  0.0
v116  =  0.0
v117  =  0.0
v118  =  0.0
v119  =  0.0
v12  =  0.0061812883
v120  =  0.0
v121  =  0.0
v122  =  0.0
v123  =  0.0
v124  =  0.0
v13  =  0.0003552971
v14  =  0.00037481248
v15  =  0.012085123
v16  =  0.00092843942
v17  =  0.013004555
v18  =  0.0
v19  =  0.0
v2  =  0.029474119
v20  =  0.0
v21  =  0.0
v22  =  0.0
v23  =  0.0
v24  =  0.0
v25  =  0.0
v26  =  0.0
v27  =  0.038104985
v28  =  0.0039929949
v29  =  0.0
v3  =  0.00092030466
v30  =  0.0
v31  =  0.0
v32  =  0.0
v33  =  0.0
v34  =  0.0
v35  =  0.0
v36  =  0.02526057
v37  =  0.0075872434
v38  =  0.0
v39  =  0.0
v4  =  7.8957181e-06
v40  =  0.0
v41  =  0.0
v42  =  0.0
v43  =  0.0
v44  =  0.0
v45  =  0.0
v46  =  0.0
v47  =  0.0
v48  =  0.0
v49  =  0.0
v5  =  0.68516662
v50  =  0.0
v51  =  0.0
v52  =  0.0
v53  =  0.0
v54  =  0.0
v55  =  0.0
v56  =  0.0
v57  =  0.0
v58  =  0.0
v59  =  0.0
v6  =  0.0
v60  =  0.0
v61  =  0.0
v62  =  0.0
v63  =  0.0
v64  =  0.10469671
v65  =  0.0
v66  =  0.0
v67  =  0.0019401354
v68  =  0.0040376739
v69  =  0.00050380718
v7  =  0.0
v70  =  0.0023751242
v71  =  0.0033354606
v72  =  0.0045042529
v73  =  0.00057560129
v74  =  0.0
v75  =  0.0
v76  =  0.0
v77  =  0.0
v78  =  0.0
v79  =  0.0
v8  =  0.0015085611
v80  =  0.0
v81  =  0.0
v82  =  0.0
v83  =  0.0
v84  =  0.0
v85  =  0.0
v86  =  0.0
v87  =  0.0
v88  =  0.0
v89  =  0.0
v9  =  0.0011627372
v90  =  0.0
v91  =  0.0
v92  =  0.0
v93  =  0.0
v94  =  0.0
v95  =  0.0
v96  =  0.0
v97  =  0.0
v98  =  0.0
v99  =  0.0
x1  =  0.0
x10  =  -0.0038496532
x100  =  0.0
x101  =  0.0
x102  =  0.0
x103  =  0.0
x104  =  0.0
x105  =  0.0
x106  =  0.0
x107  =  0.0
x108  =  0.0
x109  =  0.0
x11  =  0.0
x110  =  0.0
x111  =  0.0
x112  =  0.0
x113  =  0.0
x114  =  0.0
x115  =  0.0
x116  =  0.0
x117  =  0.0
x118  =  0.0
x119  =  0.0
x12  =  0.0061812883
x120  =  0.0
x121  =  0.0
x122  =  0.0
x123  =  0.0
x124  =  0.0
x13  =  0.0003552971
x14  =  0.00037481248
x15  =  0.012085123
x16  =  0.00092843942
x17  =  0.013004555
x18  =  0.0
x19  =  0.0
x2  =  0.029474119
x20  =  0.0
x21  =  0.0
x22  =  0.0
x23  =  0.0
x24  =  0.0
x25  =  0.0
x26  =  0.0
x27  =  0.038104985
x28  =  0.0039929949
x29  =  0.0
x3  =  -0.00092030466
x30  =  0.0
x31  =  0.0
x32  =  0.0
x33  =  0.0
x34  =  0.0
x35  =  0.0
x36  =  0.02526057
x37  =  0.0075872434
x38  =  0.0
x39  =  0.0
x4  =  7.8957181e-06
x40  =  0.0
x41  =  0.0
x42  =  0.0
x43  =  0.0
x44  =  0.0
x45  =  0.0
x46  =  0.0
x47  =  0.0
x48  =  0.0
x49  =  0.0
x5  =  0.68516662
x50  =  0.0
x51  =  0.0
x52  =  0.0
x53  =  0.0
x54  =  0.0
